Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgxI5cphGTtRO45Db9h4AaABAg,@earlh,"You did the gyro dirty there Guga, no tzatziki or anything.
Also while the skewers are a popular way to do it, even more popular would be sliced pork similar to the döner.",2025-03-05T15:27:24Z,3158,306,en
Ugzdy7J66JOT2gqrlbh4AaABAg,@Yourmothersfavewhiteboy,You don’t get a Philly cheese steak with sesame seeds ever ??!!!,2025-11-25T09:13:02Z,0,0,en
UgwvsgtaoAzdmVKKwu54AaABAg,@alexanderbieler3897,"the döner is german, comes from berlin",2025-11-25T00:16:43Z,0,0,en
UgzDTkgaqoulZQmO3cZ4AaABAg,@lavega-dz2tq,"This guys are out of this world ,they looks like they knows jus lt hoddogs an some US staff",2025-11-24T22:05:05Z,0,0,en
UgxgJEnryBVttNGEykZ4AaABAg,@lavega-dz2tq,"Probably you re from US,that s why you re so wrong about so much things out fron us",2025-11-24T22:01:50Z,0,0,en
UgwGRV9X5sHU7NHlued4AaABAg,@darkmotherproduction,"Philly Cheesesteak should have either provolone cheese or cheese whiz. Onions and  bell pepper are up to you, some even add banana peppers. I myself like both the provolone and the cheese whiz on mine.",2025-11-24T21:54:19Z,0,0,en
UgzRY56-6r1F0fFQYqR4AaABAg,@korax67,"Everything is wrong with the Greek gyros. First of all gyros is made of slices of pork meat (marinated and spiced up according to each chef's taste). It is also made  with pork or chicken skewers, but you must add either tzatziki, or as many stores also do add a red tomato sauce, often spicy. 
Dry onions, tomato and parsley are a must put in the pita. Pita must also be oiled before baked on charcoal.
No letuce ... (in the name ofJesus Christ .... who thought that...).
Also no fried potatoes,  that is a novelty added around 2000 .... it is wrong....",2025-11-24T18:48:17Z,0,0,en
UgwuJPoCuC_LHv4IB_N4AaABAg,@stefanr.316,"What was that stuff you put on the philly cheesesteak? You said swiss, that's a no go, but it rather looks like white american, which would be ok.",2025-11-24T12:44:22Z,0,0,en
UgyiZMj7oINsogYZcgN4AaABAg,@Erenhathaway,Dude i am froim greece your gyros is not gyros is a bad version of souvlaki..you gotta research better than that mate. Cheers,2025-11-24T10:46:42Z,0,0,en
UgxMVRaAznuqMMhrNzx4AaABAg,@marcbolivar8954,"Many of these looked good and authentic, but they gyro was way off. Where are the tzatziki and the fries?",2025-11-23T19:46:42Z,0,0,en
UgzndRqJswnq3uGjZjZ4AaABAg,@LordLlica,E essa francesinha 😮😂😂😂,2025-11-23T06:07:21Z,0,0,Other
Ugxu53uSFq6_EoRBvMF4AaABAg,@dseiboff,I'll take a properly made Reuben with a kosher dill pickle on the side thanks.,2025-11-22T21:07:23Z,1,0,en
UgyPlesND_wy3hGAiKh4AaABAg,@andreastsal5043,You did Greece dirty ! 0/10 we always put tzatziki and this is not gyros,2025-11-22T15:32:01Z,0,0,en
Ugzt2abpVnjqdB-CAPJ4AaABAg,@caineez,I dont think we use jalapeño in banh mi,2025-11-22T01:19:00Z,0,0,en
UgwvIxuBUtwCgYx6qZZ4AaABAg,@DinosS261,"As a greek , in souvlaki , take out the lettuce and pit some tzatziki with garlic , and then you will taste the real greek food",2025-11-21T11:28:29Z,0,0,en
UgxOxghSYDDdChlGGUt4AaABAg,@killtecho3617,Bro if you don't put Doner in S I will come and find you. Buy a ticket and go to Germany to try a real Doner.,2025-11-21T10:11:12Z,0,0,en
UgwCSsglc-WghVqebQh4AaABAg,@darius0lupus,Sorry but if it requires a fork to eat its not a sanwich,2025-11-21T08:24:59Z,0,0,en
Ugwp694G1pQuRvKcBbJ4AaABAg,@iosifchatzialis,"unfair guga, redo the gyros WITH tzatziki....",2025-11-20T14:55:13Z,0,0,Other
Ugx0V2N9r4Gogd55scR4AaABAg,@spypro1314,as a Greek i feel insulted,2025-11-19T11:24:15Z,0,0,Other
Ugzw41LQDKAXhvFV3et4AaABAg,@pererneop3922,That has nothing to do with Greek gyros....,2025-11-18T20:16:46Z,0,0,en
UgyTGYo_ZsJIZNhjh6Z4AaABAg,@midnightscookingcorner9514,Philly sandwich should be the roast pork sandwich,2025-11-14T17:39:44Z,0,0,en
UgwIBkOxYYFklx7fN2R4AaABAg,@mattmckee7498,The egg salad sandwich did not come from japan. lmfao,2025-11-14T04:31:09Z,0,0,en
UgxzGlx6fEVHk7fgn7N4AaABAg,@mattmckee7498,The philly cheese steak is not the best sandwich in america lol,2025-11-14T04:18:26Z,0,0,en
UgzUJ48HCb3081kBFiB4AaABAg,@codmgr77,"Bro Greek souvlaki 
- pita 
- tzatziki 
- souvlaki xirino (pork)
- tomatoes 
- onions 
- potatoes",2025-11-13T23:54:48Z,0,1,Other
UgyGmrUbBDaG7HcXrg94AaABAg,@malarucoon,What is with everyone's obsession with putting an egg on top of their sandwich??,2025-11-13T12:19:04Z,0,0,en
UgwzEUkyNcNVVc4PW0V4AaABAg,@edsaadi,THAT is not a Philly cheese steak.,2025-11-12T17:34:41Z,0,0,en
UgwO9Nr4oxR9JHRTDiZ4AaABAg,@akis1812greece,Hey guga how about a new video to apologize to the people of the Mediterranean (Greece and Turkey)? You did the gyro dirty in Greece the standard version of gyro comes with tzatziki.,2025-11-12T10:52:28Z,0,0,en
UgyBixpBPAZu2YZUM3V4AaABAg,@josephbonafe9283,gyro and donar are wraps not sandwiches,2025-11-10T22:25:34Z,0,0,en
Ugz5aSaE5Hu3pmci4kp4AaABAg,@AdKon2019,"Guga I love you but what you showed there is not Gyros. What you are showing there is pork skewer, not gyros. We don't use lettuce (maybe in the US they do but locals don't), lack of sauce. We also bake the pita on charcoal or fry it, and of course the meat is pork but it is differently seasoned/prepared than pork skewer. How about you come to Greece and we will show you what food is all about :)",2025-11-10T06:40:53Z,0,0,en
UgyUqQchfsr2Nk3b34V4AaABAg,@MrAlec78uk,"You missed England, didn't we invent the sandwich.",2025-11-10T00:37:02Z,0,0,en
UgzYazXJ4ClJd_M5_Z54AaABAg,@DarcFalz,Gyros are my FAVORITE food and you forgot the tzatziki!,2025-11-09T23:12:53Z,0,0,en
UgxQDeha-tUt5zolrO54AaABAg,@ΚωσταςΜπυριτζας,"What you have shown about a Greek sandwich, no one makes it or sells it in Greece.",2025-11-08T21:18:02Z,0,0,en
UgwaxSpThhFWusFSTmN4AaABAg,@novashibe,"I still think one of the greatest sandwiches ever made is the simple, classic BLT.",2025-11-08T10:56:28Z,0,0,en
UgwaA5t2eIBb-fceTjl4AaABAg,@williamholcomb1490,"Swiss cheese on a philly?  yeah, sorry... no. Good ol' American cheese all the way.",2025-11-08T09:11:53Z,0,0,en
UgwagLBiICspTuuTJIp4AaABAg,@Joe-b4b1n,A real souvlaki yeero from Greece its king and above all the ones that have eat it in Greece they know🇬🇷😋👌,2025-11-07T15:06:47Z,0,0,en
UgxQkQLnYlXms4bhul54AaABAg,@dimitrisvathilakis2816,"That is the worst variation ofsouvlaki i ve seen in my life  , and this is not gyros",2025-11-06T21:58:03Z,0,0,en
UgxuzCu-4DgTZc-osAV4AaABAg,@gorillaguerrilla229,Disgrace,2025-11-06T20:07:30Z,0,0,Other
Ugx_jh1CoT6PpkF-Yzh4AaABAg,@gorillaguerrilla229,"You should have prepared better Guga, you are subpar in sandwiches. Insulted many countries traditions.",2025-11-06T20:06:08Z,0,0,en
UgwztiYXploBJV3ohCx4AaABAg,@anastasiakostadiou5638,I m sorry but this is not Greek gyros. Actually that is souvlaki and you use wrong flat bread. Also you miss tzatziki.,2025-11-05T17:53:39Z,0,0,en
UgwpufYvQOtJEdBooRV4AaABAg,@miltiadiskehriotis7300,"come on guga you made me stop the video to write you a comment. I am talking about greece and  
this is not the original gyros  you need to include tzatziki on this think and also letuce goes  with  chicken skewers, with pork its only tomato onion tzatziki and pork like the other guy said you need to put meet similar to turkish that's why its called gyros but its okay i would love to show you some of the best greek food in greece. I am a huge fun i love all your videos by the way",2025-11-05T15:13:00Z,0,0,en
Ugz3BbJAWDcXBRqMKfp4AaABAg,@antonkrastev8719,Kebab at B tier is wild,2025-11-05T12:28:35Z,0,0,Other
UgxvKAlfRI_nQyy-qJl4AaABAg,@cgmostert970,"All these got my mouth watering! But a south african Braaibroodjie, is my favorite... It has no meat. Which is weird since south africans love meat.. But it hits home! Hope you wil one day explore that.. or even Biltong, which is way better than jerky",2025-11-04T22:16:14Z,0,0,en
Ugx99TirxbPGfRN4DCx4AaABAg,@jbmike19,"Guga, I love your videos, but Gyro is never pronounced “jai-roe”. I don’t care who you are…",2025-11-04T22:06:13Z,0,0,en
UgyH3ymX9VJaUDPFfQN4AaABAg,@GerardLeBarbare,Vietnamese sandwich doesn't use real baguette 😅 french guy here 😊,2025-11-03T18:51:20Z,0,0,en
UgxvnmvhXddYstRyPHh4AaABAg,@Antonis-t1c,Where's the tzatziki malaka,2025-11-02T22:11:03Z,0,0,en
UgzfVqSiwgSIXo7_C1J4AaABAg,@fabioluizdasilva8857,"The Brazilian sandwich showed here isn't popular in Brazil... 😂😂😂 I'm brazilian and didn't know it. Brazil is very big and each region has a popular sandwich. Maybe, the most popular sandwich in Brazil is a pernil sandwich or a x-tudo. A x-tudo seems like the Brazilian sandwich in this video, but the meat is hamburger.",2025-11-02T00:49:11Z,0,0,en
Ugyt8YJD82UXDClmlY54AaABAg,@ninrow334,"20:08
why did the turkey sandwich vanished?",2025-11-01T19:01:01Z,0,0,en
UgwfER9BLd98TY2dasl4AaABAg,@galavajr4360,Ρε μαλακα πώς το έφτιαξες έτσι το σουβλάκι σατραπι,2025-11-01T10:34:39Z,0,0,Other
UgxHAESsDjUdfqUTdFZ4AaABAg,@ziyad4898,"you should try the lebanese sandwiches, taouk,  shawarma(meat), and soujouk",2025-11-01T00:06:49Z,0,0,en
Ugwpp-OUyVHraA_zydl4AaABAg,@einsbern8546,"Why didn't you make ayvalık toast, guga?",2025-10-31T17:05:05Z,0,0,Other
UgxG6G7EeLwK-uD8Uut4AaABAg,@harryforker5954,"Swiss cheese does not go on a philly cheesesteak. American cheese, provolone, cheese cheese, whiz or cooper sharp. Never swiss cheese.",2025-10-30T09:49:33Z,0,0,en
UgzezHEc0EOtcs_bIfd4AaABAg,@John_Smith_,"If you make a porchetta sandwich with thin sliced porchetta instead of cutting it thicc with a knife, you fucked up.
Which is fair to the video, since the whole thing is beyond fucked up.",2025-10-28T12:39:42Z,0,0,en
UgzVhA1R2FztUtS6XJt4AaABAg,@sportman2311,Greece on top this was not a gyro bro You did us dirty Americans….,2025-10-27T20:59:12Z,0,0,en
UgzD1BqK7i9kcqOaExp4AaABAg,@Keysersoze30,The is NO Lamb gyros in Greece.  Only Pork and VERY recently chicken. This is no REAL Gyros and what yo u createdhas NOTHING to do with Greece . Where is the Tzatziki sauce ?,2025-10-26T15:51:24Z,0,0,en
UgwJLy5INFQrvTGmYg54AaABAg,@panelabraba,"Tzatziki would save that poor gyro. And X-Tudo may have it's variations across the country, but in São Paulo it's tomato, lettuce, a burger patty, queijo prato or mozzarella, smoked calabresa sausage sliced and grilled on the flat top along with the ham, bacon and the egg, with some mayo. You can put ketchup or mustard also, but it comes as optional, usually I eat it as it is.",2025-10-26T06:36:54Z,0,0,en
Ugw6LWDtOO0aUi_9zxV4AaABAg,@ntvans,The greek sandwich simulation was A TOTALLY FAILED ONE.There is absolutely not  a sigle  eatery in Greece that would serve souvlaki with no yoghurt garlic dill sauce and no tomato and onions .Not a single one. A significant number of those would add red sause on top of the other ingredients. Not a fair representation.There is also a bun version with gyros or meat skewers coupled with cheesse and cheese spread that you have totally omitted.,2025-10-24T21:10:57Z,0,0,en
UgzOIfpF5IWS28IR2yp4AaABAg,@RinusSwiegers,The Gatsby from South Africa is the best 👌,2025-10-21T05:48:18Z,0,0,en
Ugx4qKINgZXc2xduqqd4AaABAg,@WeekendVlogRov,"No Tzatziki in the gyro, thats criminal! 

For the italian sandwich , that clearly looks like prosciutto in Guga’s sandwich.",2025-10-21T01:36:32Z,0,0,en
Ugxzyk7ptHqxW_z2mBR4AaABAg,@ismaeelabrahams7911,Full house masala steak sandwich from South Africa,2025-10-20T16:40:35Z,0,0,en
Ugw8G2LyM1K0guBSycR4AaABAg,@ClaireWilliamson-u7f,Australian and i think you missed the bacon and egg sando,2025-10-19T02:06:01Z,0,0,en
UgzwoZ7v3wzz8l5UpKN4AaABAg,@ΣταύροςΘ,you forgot the tzatziki man and this isnt sandwitch this is greek pita...our sandwitch have bread like america,2025-10-17T20:15:22Z,0,0,en
Ugw4m7Q1ZeCuWtAjdpp4AaABAg,@paulorosa4181,"Wouldnt eat any of those sandwiches ever, sorry",2025-10-17T19:36:29Z,0,0,en
UgxFT5VD5q1wClE8KZ54AaABAg,@Andrea84rm-m8v,me gusta,2025-10-16T15:56:14Z,0,0,Other
Ugx2Y2b3It6mUviybeN4AaABAg,@kazaar01600,"A French sandwich. Baguette, lettuce, tomato, onion, egg slices, grilled chicken pieces, and mayonnaise.
Croque monsieur sandwiches are starters and not a main course.",2025-10-12T02:52:07Z,0,0,en
UgwzDGLOvTFuynhLchl4AaABAg,,X tudo é o melhor,2025-10-09T18:52:55Z,0,0,Other
Ugx5FBrEzmhPcXN_49R4AaABAg,@YoPiedsNus,I wonder how Japan would have done if you had presented katsu-sando or tonkatsu sandwich.,2025-10-09T17:55:24Z,0,0,en
UgzqElYZ5O_c6Sn4g5V4AaABAg,@CreteRulz2010,"Come on Guga.  Where's the tzaztiki sauce in the Greek Gyro?  Looks like you omitted intentionally lol.  By the way you made souvlaki not a gyro.  Skewered meat is not a gyro. You complain about Italians in Italy not seasoning steak, and then you go and fudge the gyro?!  Not to mention the the sin of adding iceberg lettuce  I forgive you as I enjoy all your videos.  BTW, I recommend you re-watch your ""The Only Sandwich Worth Fighting For, Street Gyros"" video.  That's more authentic!",2025-10-09T16:59:47Z,1,0,en
UgxbejiowaWCk7JQecp4AaABAg,@MatthewTripp-h1n,Try a ..... LIVERMUSH .. FRIED EGG . NOT RUNNY .. AND TOMATOE SANDWICH... LET ME KNOW .. You probably WONT  Because I'm a NO BODY.  NOT RITCH .,2025-10-09T00:04:54Z,0,0,en
Ugz09K7DQGtslQtNCqR4AaABAg,@MatthewTripp-h1n,The 2nd one is NOT A SANDWICH,2025-10-08T23:38:24Z,0,0,en
UgxpGqy6Wsslv58cUfR4AaABAg,@joefei707,This list didn't make it for me,2025-10-07T19:49:22Z,0,0,en
UgwckHH-_WX1ToBbAEl4AaABAg,@HoloHI8,PUNTA DEL ESTE MENTIONED 🇺🇾🇺🇾,2025-10-06T21:34:53Z,0,0,Other
UgzKE_nadD_r3IDkc1R4AaABAg,@3lfink0offroad55,You left out the media noche is ah cuban sándwich that is the best in the world,2025-10-05T14:11:59Z,0,0,en
UgyVaWuhEDmciGlhaeN4AaABAg,@NahNahNAh126,"everyone is speaking on the Gyro, but you put together a ""Philly on a budget.""   I HAVE NEVER SEEN A PHILLY WITH LES MEAT IN MY LIFE.",2025-10-04T03:03:01Z,0,0,en
UgxtQelh678uDkVLV4d4AaABAg,@pheermeqq,can you stop including the man child who cries about lettuce and tomatoes in every video?,2025-10-03T20:27:39Z,0,0,en
Ugzn4SmB7mht45H-xBJ4AaABAg,@shalomalechim1724,That Video is an insult to Greeks. If you have no clue then just shut your mouth.,2025-10-03T18:10:42Z,0,0,en
UgyIZq6Idxjutr8gYil4AaABAg,@payrraw8332,We want to see Guga eating not those guys,2025-10-03T10:22:06Z,0,0,en
UgwV97ihoy1C-vAVyol4AaABAg,@christianreynolds737,Swiss cheese on a Philly cheesesteak ? 🤨,2025-10-02T23:22:47Z,0,0,en
Ugwzh3X8GpFkug0-dOx4AaABAg,@alexdimogiannis1836,no tzatziki on that gyros or any sause in general it would make it hard to eat but it is the only true S tear,2025-10-02T22:42:49Z,0,0,en
Ugxez9WQPVv9_CWzJ8l4AaABAg,@emotionallyretarded5819,WHERE TZATZIKI MALAKA???,2025-10-02T16:10:50Z,0,0,en
UgyVk6SngQT9csCe1b94AaABAg,@niklasklotsche9714,The turkish dish you made was a dürüm not a döner,2025-10-02T14:34:10Z,0,0,en
UgxnuN7AyL1CLdyDMvl4AaABAg,@Ichorof,"That döner was the German variation in Türkiye it would be wrapped in a soft wrap with fries and pickles and way more meat. That's the classical version, some places put onion or tomatoes but the best version is just a soft lavaş filled with 150 grams of meat some fries and some pickles.",2025-10-01T16:23:38Z,0,0,en
UgwUAjbKEUJ_jSpy2Tx4AaABAg,@walidhalabi82,Shawarma would beat them all,2025-09-30T22:34:49Z,0,0,en
UgzzBuc2RINyOMUR73R4AaABAg,@Asukayiy,Bro doesn't lnow the difference between a wrap and a sandwich,2025-09-29T15:16:21Z,0,0,en
UgyZLXWtZP1ihdvgLzR4AaABAg,@Travel2EuropeUS,If voting indian sansaeches :))))😂,2025-09-29T05:02:28Z,0,0,en
UgwcLWlxbeskHD3nsAV4AaABAg,@KenjahDavid,"In France, ""jambon beurre"" is the most iconic; no need to put an egg on top of a Croque-Monsieur, but richer bechamel mixed with Emmental cheese and real Pain de campagne. In contrast to the Turkish kebab, I think for Greece you could have chosen lamb Souvlaki, which has a fluffier bread and delicious goat cheese.",2025-09-29T04:53:19Z,0,0,en
UgwBdSCtBKKYDcvRQRt4AaABAg,@n.i.s8259,you massacred the poor gyro :(,2025-09-28T21:10:11Z,0,0,en
UgzS9Wc2g2THNhhI2NF4AaABAg,@DamilsonJunior,"Caraio guga, nao sabia que vc era br, fica em paz fé",2025-09-24T21:58:26Z,0,0,Other
Ugx8sTPNl0nMU7yJ4Cl4AaABAg,@anniemody,Guga the Gyro should be sliced thin flame grilled lamb & have tzatziki to be authentic.,2025-09-20T20:42:48Z,0,0,en
