Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwPq7rmp7s_NnDDBWt4AaABAg,@robertmarquez9208,Guga you got me inspired got all the ingredients!!!! Hope I can make it!!!got fresh made pasta,2025-10-31T22:58:12Z,0,0
Ugx2dZ3bZEdatHEq6mV4AaABAg,@rtyrsson,"Guga's carbonara is what dreams are made of. Serving in te parmesan wheel is an added touch of flavor, decadence, and flair.",2025-07-21T23:33:12Z,0,0
Ugy-Tlha7FnZzB_-Q0h4AaABAg,@joso5554,Traditional Carbonara for me. I’ll have a wagyu steak simply on it’s own on another meal if budget allows.,2025-07-21T15:06:54Z,0,0
UgzQ4xotPwgYQ4BViHZ4AaABAg,@AyumazHD,I am Italian and you are killing me.,2025-07-12T11:12:29Z,0,0
UgzGrmXsgXR33vSMbvB4AaABAg,@matdryz,"It's not a carbonara. May be better, may be worse, but it's not a carbonara - truffle cheese, really? WTF?",2025-06-12T21:14:06Z,0,0
Ugxlrbq72GnNyTZtuHV4AaABAg,@igorshubovych,"Carbonara is people's dish. Almost every Rome's citizen can afford it. The guanchale was chosen because it was throw-away cut, usually cheaper than bacon. Now because of carbonara popularity it became more expensive.
Every Italian mom knows how to cook carbonara. it is supposed to be cheap and simple.
Adding Wagyu make it not-carbonara.",2025-06-09T22:50:31Z,3,0
UgxA-RMGLfu9I3jEh8N4AaABAg,@migueldeleonjr.9979,Hey Guga your turning into the new SALT BEA!!!!!! YOU TALK ABOUT HIS EXPENSIVE PRICE ON HIS MENU PUT YOU COOK JUST AS BAD AS HIM COOK9NG WITH MEET THE REGULAR PERSON OR FAMILY CANT AFFORD!!!! YOUR 2 FACE AND A HYPOCRITE.!!!!!!,2025-06-03T05:33:28Z,0,0
Ugxem1c_Z2wyevAmDNp4AaABAg,@PatrickMagToast,"Ive perfected cheese Toast. Heres the recipe: Take a 1000$ wagyu Steak, call Gordon Ramsay to Cook it, put it in a 2000$ Parmesan und add some hummers to it. 

Which one would u eat?",2025-05-31T10:14:23Z,0,0
Ugx5Owoc-BknMkYVJw14AaABAg,@duongminhphu,"All the butt hurt losers making me laugh, thanks hahahaha",2025-05-17T18:42:14Z,0,0
UgygKMX0dByFZFaR81B4AaABAg,@BarndísCrow,I can’t even afford his fork,2025-05-03T11:12:52Z,0,0
