Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgymzqmAjJpDdVN7Tp94AaABAg,@b-ronicameroni3132,Wendover is clearly left leaning. It’s fine. Just good to know,2025-11-15T04:25:48Z,0,0
UgxsrEgnrrl8sZNJYBx4AaABAg,@erinalxs,"thank you for mentioned Indonesia and Pope Francis’ papal visit in 2024! we Catholics are indeed having difficulty in building churches for decades, but we’re hopeful the situation will get better soon. ❤",2025-11-12T10:03:11Z,0,0
Ugy98V5-xgwDWFquH_Z4AaABAg,@blwarren,"This is a fascinating and well-produced explanation of how the Vatican functions as a sovereign entity, but it misses an important part of the story — the why behind that sovereignty. The Vatican isn’t meant to be a “country” in the conventional sense. Its existence isn’t about borders, an economy, or a resident population; it’s about ensuring the Church’s independence from any government so it can serve a worldwide community of over a billion Catholics.

It’s also misleading to treat the Holy See’s diplomacy as if it were just another political player “backing winners.” The Holy See’s engagement on global issues — from peace negotiations to bioethics — is grounded in moral and theological principles, not popularity or strategy. When the Vatican mediates conflicts or speaks at the UN, it does so as the spiritual voice of a truly international Church, not as a European microstate.

In short, the Vatican’s uniqueness isn’t that it’s a tiny state with embassies; it’s that it’s the visible instrument of a faith that transcends nations, languages, and cultures. The sovereignty of the Holy See exists precisely because the Church must be free to speak to all nations — not as one among them, but as a universal moral witness above them.",2025-11-11T00:44:36Z,0,0
UgzNgxM-iti9ugCLMzV4AaABAg,@asm-6547,The country is Vatican City or the Holy See. Not the Vatican.,2025-11-01T08:44:57Z,0,0
UgxrEeVHBuyM06VbdXB4AaABAg,@papallegatepoope3010,The Holy See is the chair of Saint Peter which is occupied by the Pope. It isn’t the Curia which is his advisors,2025-10-31T15:33:36Z,0,0
Ugw_qKYLPTkc4MVH1oV4AaABAg,@DavidDHorstman,VC::Catholocism:DC::United States,2025-10-30T20:11:24Z,0,0
Ugx6Pmo0Vf5FGI5BIr14AaABAg,@654_nosneb,"As a former Catholic and current Protestant, I admit that the world is a better place to live thanks to the Vatican.",2025-10-30T13:10:23Z,1,0
Ugwah0wHRmLhp15q-xF4AaABAg,@cmilla111,"Regardless of what people think of the religion it’s interesting to think about what would happen if the Vatican state was peacefully dismantled because everyone agreed it wasn’t necessary or something.

The Pope and the church could do the same job in Germany for all it matters but they have to pay proper taxes.

I feel like that would rock the boat quite a bit.",2025-10-29T03:15:40Z,0,0
UgwRwNzIbNu3lCk_N7l4AaABAg,@philiphunt-bull5817,"To call an unfertailized embryo a person is so blatantly batshit insane, how was anyone swayed by that",2025-10-26T20:41:49Z,0,2
UgwHLPa0oqOYwSac6uR4AaABAg,@eliasmontesdeoca9945,"You say “Not Judaism” but I was under the impression Israel is a self-proclaimed Jewish state, seeks to be recognized as much, and ergo has international recognition and all applicable rights that come with it. In fact, it is canonical in the school of international law that Israel is the single most lawless state on the global stage, practicing self-proclaimed “rights” that are nothing more than horrific, vile, and abdominal abuses of international law and human rights while being treated as if above the law. Israel isn’t internationally sanctioned like Russia or Cuba or China now as well by Trump, is given hundreds of billions of dollars by countries all around the world, is, on top of that cold hard cash, given greater amounts in value in military weapons, tanks, aid etc. And they have proclaimed to have eyes on destroying the mosque and rebuilding Solomon’s temple to finally reestablish the seat of Judaism in Jerusalem, like their ancient king, David, from whose descendants comes Jesus, so there would likely be a global incentive to allow and even contribute to that cause in the Western world. Anyways, just my 2 cents. My point of view. No need to get rowdy on here.",2025-10-26T14:57:18Z,0,0
