Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgxHaH599-3lSVnj3ed4AaABAg,@usernameno1hastaken,"That's not a panic attack, panic attacks will not allow you to be in phone calls or wanting to speak to anyone period. At best he was just having anxiety. Yet again some more lies on his part.",2025-11-24T23:19:03Z,0,0,en
Ugzf2224hWicMH71BL54AaABAg,@MellowedGrooves,"oh my god bruh can we just fucking move on

like we get it, he fucked up. it was an accident and he isn't working with the openhand foundation anymore and he's doing his own shit

quit trying to be some drama youtuber, I liked you for giving me updates on fucking game and society issues, not the fucking completionist",2025-11-24T05:21:04Z,0,0,en
Ugx9KJRiwM7g4ZOPQQR4AaABAg,@shahrbanooShadpoori,"I dont like jirard at at all, but my god i hate karl jobst and everything about him. Muta should stop his friendship with him, he's an pos human being",2025-11-23T17:15:04Z,0,0,en
UgyhOLCZ3GlnzgkcCw94AaABAg,@armandogarcia231,That scream at 1:46:18 was from the heart of frustration like dang (._. ),2025-11-22T10:09:30Z,0,0,en
UgwIPQWTgqH6z6LZAiB4AaABAg,@atomicskies_,"I love how he brings up Muta’s controversies, even thought Muta’s controversies have never been anything serious, and aren’t relevant anyway",2025-11-21T05:38:55Z,0,0,en
UgwY-bTiz_qVhLDQ70p4AaABAg,@KitTheKatter11,I love Papa Mudda and really I trust mudda then any other channel because how he presents receipts. Love ya Mudda!,2025-11-20T20:29:22Z,0,0,en
UgznuwG1v2IdLS0rKWZ4AaABAg,@XdivineExp,"Jirard: I know what it's like to have your life scrutinized by tens of thousands of people, and no one deserves that
Also Jirard: Hey guys, here's a google doc of every single thing Karl and Mutahar have ever done wrong.",2025-11-20T13:40:42Z,2,0,en
UgwIb4WiOK8avErMQEF4AaABAg,@XdivineExp,"1:14:00 I always find it laughable when Jirard brings up the restricted donations and how without restricting some of the money might go to administrative costs like accounting fees and salaries, as if those A, aren't still very important, and B, aren't going to get paid for anyways. Like does Jirard really think that by donating money in a restricted fashion, that's somehow taking money away from those things? Like sure, the exact dollars he gave them will go to where he restricted it, but what about all of the non-restricted donations? Any money that could have been previous allocated towards the areas Open Hand donated to can just be reallocated towards administrative fees and salaries. Basically, unless so much money is donated in a restricted fashion that there is literally not enough to cover the admin fees/salaries, there is no way to prevent them from paying the exact same amount that they would have before the donation.",2025-11-20T13:06:17Z,1,0,en
Ugz2DVj0L_ioEhgGHIF4AaABAg,@derekrequiem4359,"Can't believe this whole saga is 2 years old now, someone wake me up when the guy finally completes his career.",2025-11-19T20:58:30Z,0,0,en
UgwROJe34CikbMI6coB4AaABAg,@ChaoticPinky,"I dont want to sit through hours of video to find out what happend, can some one just wrap it up neatly for me ?",2025-11-19T10:26:19Z,0,0,en
Ugxka73s5aXp_GOL5nx4AaABAg,@goldleafllc,Ur kr a zee,2025-11-19T04:18:47Z,1,0,Other
UgzD6WoG2V1liYJPt2Z4AaABAg,@midnight4956,"Came to check here after watching Karl's 4 hour long vid. I also kinda want to see your POV of this situation Muda, just to see you verbally body this guy.",2025-11-17T20:12:17Z,0,0,en
UgwWWLHnnFKoq8cPo2V4AaABAg,@aephix73,I have proof. I made some Excel spreadsheets with random numbers to prove we did everything right. 😅,2025-11-17T14:26:29Z,2,0,en
Ugyevs4JeeE5GC8HBOp4AaABAg,@WillToNihilsm,LMFAO his video has double your views!!! Ahahahahhaa,2025-11-17T13:21:28Z,2,1,en
UgwcfR6SElhRs0D_fCx4AaABAg,@cthulhu888,Did no one involved any given year ever ask or want to check in on the foundations and what their donations had been used for? It's odd how even 2 years later we still don't have anyone come forward and say what achievements we unlocked at the very least lol 😅,2025-11-17T01:17:53Z,0,0,en
Ugw866Dp2sR1uIo7pgt4AaABAg,@syaojyn,It sounds like you slam your table all the time,2025-11-16T16:32:52Z,0,0,en
UgzavJQMNvn2BLJvLlt4AaABAg,@MathIguess,"Should ""Excerpt from Carl's latest video"" say ""Excerpt from Karl's latest video"" or am I bad at spelling?",2025-11-16T05:00:12Z,0,0,en
UgwD6sVl79Tdt7OlWdV4AaABAg,@Kheapathic,Lying Jeet on Lying Jeet violence.,2025-11-15T23:47:24Z,1,0,en
UgyIV4zw-voP8jnUtsV4AaABAg,@qwertyb18,"The Completionist should've just came out clean instead of acting like a manchild
""Hey, it's been brought to my attention the donation money hasn't been disbursed properly, the $600k has been collected including $X to account for inflation. I'll be stepping down from my position but we will continue to accept donations, yada yada""
or something like that",2025-11-15T23:15:56Z,2,0,en
Ugxu_G0-IZ2DwdGtBz54AaABAg,@TeamGhostRyderINC,"Man it's funny that the Completionlist tried to justify on him making mistakes but he made so many misleading information about his company and trying to throw Some Ordinary Gamers under the bus. We need to finally end this situation and to just have people to be honest about it. Great video, but I will not be watching Karl video due to length and I just don't trust him.",2025-11-15T18:58:23Z,1,0,en
UgzQcAZii1Qf47Cgd2x4AaABAg,@erinasnow,"Tl;dr: I prefer nuance and don't ever like attacking people. You do it well.

I do like this video a bit better than Karl's, probably because, like you point out, he's a bit more heavy handed in general as style. And that can bother me - stating things in a very confidence voice whilst not knowing it for certain (e.g. the laws broken. I know enough about laws that it's a mess and that things might seem broken but aren't.)

I personally prefer someone who appears a bit more nuanced.

That said, it's clear that even if the completionist didn't do something legally wrong, it was still morally questionable. Now, I do think that we can all make mistakes, even moral ones, but that it matters more how you react to it. And I don't like people attacking others (character) when attacked themselves. As a direct reaction, I can understand it (and sometimes tolerate it), but after a few months, let alone years, it's never smart imho. Attack points. Not people.",2025-11-14T19:35:09Z,1,0,en
UgywjJ4QBNUNbXbvtF54AaABAg,@Denzarki,"the saddest part about this, is that it was 2 years ago but feels like a couple months time is going too fast wtf",2025-11-14T09:50:45Z,0,0,en
Ugz9y13zjpy0derFAON4AaABAg,@ReptilianInsiderNews-kr5it,"Doing the lords
Work",2025-11-14T03:47:36Z,0,0,en
UgzGLFsCTA68rynwIoB4AaABAg,@BigSidDefcon5,"Imagine making a 45 minute  video ""explaining"" things, and having two people making  rebuttal videos for a combined 6+ hours RIPPING that 45 minutes to shreds.",2025-11-13T03:11:21Z,4,0,en
UgzQlOGL7oJwUya8DtR4AaABAg,@SenatorSigma,He won't though. If he did you could subpeona him for everything his family has and has not done. You could do what Brian Deer did to Andrew Wakefield.,2025-11-12T17:38:06Z,0,0,en
