Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugwfs8BvDwoBp3ldvX94AaABAg,@incurableromantic4006,It is endlessly amusing that a festival full of people demanding open borders - is protected by a massive fortified wall to keep out the uninvited.,2025-11-16T17:19:40Z,0,0,en
UgzxcV7nK50VWu4hTy14AaABAg,@GzuwngzSguehxh,Love the humor in this.,2025-11-04T12:32:28Z,0,0,en
UgyVnrhKOOEyu_ym3314AaABAg,@bettyswallocks6411,"Glastonbury is phenomenal, the toilets are legendary, the cider bus is the best meeting place in the world.",2025-11-03T00:44:26Z,0,0,en
Ugz1PiEfDpBVl3rivnJ4AaABAg,@AnhthuHaimi,You always make things clear.,2025-10-27T01:22:04Z,0,0,en
UgwJXW2SnpM4yV9_ERB4AaABAg,@Yourowner,So no one worried about leaching from the poop Holes in to the Drinking water?,2025-10-24T07:33:11Z,0,0,en
UgylqwWVjb-pfleKycF4AaABAg,@thryduulf,Just one very small nitpick for the annual corrections video: Castle Cary station has 3 platforms (not 2) as you can see at 17:58,2025-10-16T22:20:37Z,0,0,en
Ugy_MvyS8RtAYKhbT8V4AaABAg,@GracebewKnight,You’re truly talented at what you do!,2025-10-14T18:10:57Z,0,0,en
Ugx4vtVHowhki701JkB4AaABAg,@NgxnxnNgdm,Loved the flow of this video.,2025-10-14T15:23:15Z,0,0,en
UgzfuRk5zNFcZG_Ni-l4AaABAg,@jamesnapper2876,Mass gatherings of people kinda freak me out and when they're combined with alcohol and illicit substances that trepidation goes through the roof.  After working security at large events and nightclubs big crowds just are too unpredictable to my liking and there's nothing worse than a drunk breathing in your face while they try to tell you some unintelligible drivel.  Give me a smokey little blues bar with less than a hundred people and I'm in a happy place,2025-10-14T00:11:52Z,0,0,en
Ugzw3i15l2Byic3AKxB4AaABAg,@WilVincent27,"One point about artist cancellations, there’s a minimum number of songs / amount of time to be classified as a ‘set’ which some bands do to get around being classified as cancelled. Avenged Sevenfold did this at Leeds one year, playing 5 songs with messed up vocals before calling it a day, and countless bands have finished sets early but meeting obligations if they have issues / the crowd just hate them (Nickelback, Portugal).

Also a lot of the volunteers get in effect free entry, but have to work 8 hours a day, sometimes at stupid hours. For Glastonbury, some get in by volunteering for a charity instead.

In terms of rubbish, there’s normally a cup deposit, which is 10/20p. This is returned if you take your cups back to a specific location (NOT the bar!). This is why you get people with massive cup stacks. It’s an easy way of making money and many don’t care about that 20p, though some play practical jokes on cup collectors (I did it for a few years when I was skint, and it was my way of feeding myself during the festival!). You also used to get a free can of beer for each trash bag returned in the campsite, which was emergency last night refreshment!

There used to be at least one homeless guy in Derby who would save up to get a Download ticket just to collect cups. He said he made more money than selling the Big Issue in Derby itself during that time, which was about 15km from the festival site, but the closest real train station.",2025-10-11T22:16:47Z,0,0,en
Ugxe4kvwwWWQzNrDUVx4AaABAg,@BeatriceReynolds-z1z,I�ll definitely apply this.,2025-10-11T17:42:08Z,0,0,en
UgygwgG0rbDTcYF2dLF4AaABAg,@damiaosimoes-q5w,Really useful information.,2025-10-10T21:41:54Z,0,0,en
UgxGmKK5djAIJn_UAux4AaABAg,@Wingcrawler,For the sake of the enviroment it should been banned.,2025-10-08T16:50:51Z,0,0,en
UgwNohI_YxrGDs209Id4AaABAg,@Wingcrawler,12:30 especially being bri'ish,2025-10-08T16:48:12Z,0,0,en
UgwUc1aPSlIJjkYartx4AaABAg,@shubhamrajkaur6587,"Non American people sill asking ""what is this festival all about"".",2025-10-07T16:23:37Z,0,0,en
UgwlZmnTEYkhzb3ECYd4AaABAg,@redrangerrr558,Listening to how organised this is after researching the fyre festival and other failures really puts into perspective how poorly they were planned.,2025-10-07T03:23:39Z,0,0,en
UgzcZrmZkJwRdYbfReN4AaABAg,@ModiRobbieBloodworth,You always deliver great content.,2025-10-01T18:59:47Z,0,0,en
